epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,130.119,0.45229,0.3755,1,1.36048,0.00332444,0.00332444,0.07008
2,180.596,0.07675,0.36317,1,1.85485,0.00665127,0.00665127,0.0400735
3,212.939,0.02526,0.33733,1,2.19456,0.00995211,0.00995211,0.010041
4,250.738,0.01344,0.40017,1,2.32474,0.00991232,0.00991232,0.00991232
5,280.631,0.00995,0.3775,1,2.39094,0.00984449,0.00984449,0.00984449
6,309.231,0.00726,0.434,1,2.13732,0.00975773,0.00975773,0.00975773
7,336.895,0.0055,0.36067,1,2.83066,0.00965239,0.00965239,0.00965239
8,364.627,0.0055,0.39533,1,2.60314,0.00952889,0.00952889,0.00952889
9,392.084,0.0055,0.4225,1,2.42175,0.00938772,0.00938772,0.00938772
10,419.366,0.00514,0.43017,1,2.45063,0.00922942,0.00922942,0.00922942
11,449.855,0.00454,0.4615,1,2.37134,0.00905463,0.00905463,0.00905463
12,478.559,0.00526,0.40933,1,2.31483,0.00886404,0.00886404,0.00886404
13,508.211,0.00328,0.47583,1,2.39696,0.00865839,0.00865839,0.00865839
14,538.476,0.0029,0.47283,1,2.50226,0.00843851,0.00843851,0.00843851
15,564.902,0.00364,0.465,1,2.58027,0.00820525,0.00820525,0.00820525
16,588.576,0.00315,0.43817,1,2.37344,0.00795954,0.00795954,0.00795954
17,612.973,0.00301,0.51733,1,2.21096,0.00770234,0.00770234,0.00770234
18,636.634,0.00253,0.51,1,2.21277,0.00743468,0.00743468,0.00743468
19,660.511,0.00235,0.51167,1,2.23408,0.00715761,0.00715761,0.00715761
20,685.001,0.00237,0.45967,1,2.39291,0.00687222,0.00687222,0.00687222
21,709.135,0.00281,0.425,1,2.72008,0.00657963,0.00657963,0.00657963
22,733.574,0.00204,0.43767,1,2.75382,0.00628101,0.00628101,0.00628101
23,758.823,0.00189,0.46983,1,2.5309,0.00597754,0.00597754,0.00597754
24,783.256,0.00258,0.4525,1,2.66165,0.0056704,0.0056704,0.0056704
25,808.563,0.00214,0.46033,1,2.73799,0.00536081,0.00536081,0.00536081
26,833.55,0.00233,0.45817,1,2.64459,0.00505,0.00505,0.00505
27,857.669,0.00176,0.44517,1,2.74385,0.00473919,0.00473919,0.00473919
28,882.329,0.00164,0.44067,1,2.78142,0.0044296,0.0044296,0.0044296
29,905.66,0.00222,0.477,1,2.46376,0.00412246,0.00412246,0.00412246
30,930.35,0.00183,0.4665,1,2.61141,0.00381899,0.00381899,0.00381899
31,953.52,0.00171,0.43817,1,2.70335,0.00352037,0.00352037,0.00352037
32,977.406,0.00166,0.45633,1,2.66897,0.00322778,0.00322778,0.00322778
