epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,113.279,0.27822,0.35325,1,2.00885,0.00333167,0.00333167,0.070015
2,161.623,0.04492,0.38725,1,2.38668,0.00665849,0.00665849,0.0400085
3,200.174,0.01821,0.41087,1,2.17527,0.00995931,0.00995931,0.00997597
4,234.751,0.01204,0.41712,1,2.79768,0.00991232,0.00991232,0.00991232
5,269.367,0.00788,0.3925,1,2.74268,0.00984449,0.00984449,0.00984449
6,302.9,0.00492,0.41938,1,2.95042,0.00975773,0.00975773,0.00975773
7,338.516,0.00404,0.4655,1,2.64601,0.00965239,0.00965239,0.00965239
8,373.271,0.00371,0.45287,1,2.93983,0.00952889,0.00952889,0.00952889
9,410.479,0.00282,0.414,1,3.47957,0.00938772,0.00938772,0.00938772
10,445.715,0.00309,0.41475,1,3.28233,0.00922942,0.00922942,0.00922942
11,482.615,0.00407,0.4385,1,3.04435,0.00905463,0.00905463,0.00905463
12,518.609,0.00223,0.41238,1,3.69011,0.00886404,0.00886404,0.00886404
13,554.896,0.00237,0.45812,1,2.94941,0.00865839,0.00865839,0.00865839
14,591.397,0.00248,0.441,1,2.74122,0.00843851,0.00843851,0.00843851
15,627.677,0.00204,0.439,1,2.35343,0.00820525,0.00820525,0.00820525
16,663.303,0.00227,0.40088,1,2.75678,0.00795954,0.00795954,0.00795954
17,700.33,0.00173,0.415,1,2.92055,0.00770234,0.00770234,0.00770234
18,736.802,0.00166,0.40137,1,3.1847,0.00743468,0.00743468,0.00743468
19,773.737,0.00185,0.399,1,3.20442,0.00715761,0.00715761,0.00715761
20,810.557,0.00178,0.3915,1,3.18011,0.00687222,0.00687222,0.00687222
21,847.346,0.0016,0.40712,1,3.00844,0.00657963,0.00657963,0.00657963
22,883.981,0.0019,0.41625,1,3.03482,0.00628101,0.00628101,0.00628101
