epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,96.511,0.34621,0.39588,1,2.20096,0.00166583,0.00166583,0.0683492
2,168.86,0.05236,0.3435,1,3.2495,0.00332924,0.00332924,0.0366792
3,240.412,0.02163,0.39,1,3.04741,0.00497965,0.00497965,0.00499632
4,311.458,0.01294,0.436,1,3.84565,0.00495616,0.00495616,0.00495616
5,382.647,0.00742,0.47925,1,3.04979,0.00492224,0.00492224,0.00492224
6,448.567,0.00554,0.41063,1,3.79111,0.00487886,0.00487886,0.00487886
7,504.993,0.00503,0.497,1,3.13949,0.0048262,0.0048262,0.0048262
8,563.995,0.00361,0.4295,1,3.04247,0.00476445,0.00476445,0.00476445
9,621.907,0.00333,0.3345,1,3.90531,0.00469386,0.00469386,0.00469386
10,676.587,0.00298,0.40425,1,3.8215,0.00461471,0.00461471,0.00461471
11,734.535,0.00345,0.4635,1,2.74499,0.00452732,0.00452732,0.00452732
12,788.856,0.00302,0.40038,1,4.08213,0.00443202,0.00443202,0.00443202
13,844.954,0.00264,0.38688,1,4.50433,0.0043292,0.0043292,0.0043292
14,899.747,0.00257,0.45437,1,3.49598,0.00421925,0.00421925,0.00421925
15,956.108,0.00326,0.43962,1,3.14252,0.00410262,0.00410262,0.00410262
16,1011.06,0.00186,0.4605,1,3.2559,0.00397977,0.00397977,0.00397977
17,1066.02,0.00193,0.42013,1,3.47563,0.00385117,0.00385117,0.00385117
18,1120.3,0.00174,0.38712,1,3.68806,0.00371734,0.00371734,0.00371734
19,1174.48,0.00163,0.38925,1,3.77808,0.0035788,0.0035788,0.0035788
20,1228.77,0.00173,0.38925,1,3.66735,0.00343611,0.00343611,0.00343611
21,1282.89,0.0016,0.39838,1,3.62002,0.00328982,0.00328982,0.00328982
22,1336.5,0.00154,0.40637,1,3.83364,0.00314051,0.00314051,0.00314051
