epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,63.1278,0.75834,0.35683,1,1.2521,0.000332444,0.000332444,0.067088
2,94.9013,0.33482,0.34783,1,1.34491,0.000665127,0.000665127,0.0340873
3,124.481,0.1604,0.36033,1,1.55612,0.000995211,0.000995211,0.0010841
4,152.812,0.07491,0.34583,1,1.6999,0.000991232,0.000991232,0.000991232
5,180.134,0.04585,0.36667,1,1.86382,0.000984449,0.000984449,0.000984449
6,207.402,0.03241,0.34967,1,1.91265,0.000975773,0.000975773,0.000975773
7,233.333,0.02642,0.33617,1,2.0673,0.000965239,0.000965239,0.000965239
8,259.086,0.02454,0.35833,1,2.05219,0.000952889,0.000952889,0.000952889
9,284.535,0.01842,0.34867,1,2.05014,0.000938772,0.000938772,0.000938772
10,311.659,0.01694,0.361,1,2.09722,0.000922942,0.000922942,0.000922942
11,340.373,0.01552,0.34167,1,2.17435,0.000905463,0.000905463,0.000905463
12,369.122,0.01426,0.342,1,2.14081,0.000886404,0.000886404,0.000886404
13,398.095,0.01283,0.3435,1,2.20838,0.000865839,0.000865839,0.000865839
14,427.017,0.0114,0.34117,1,2.28595,0.000843851,0.000843851,0.000843851
15,455.753,0.01218,0.35317,1,2.2638,0.000820525,0.000820525,0.000820525
16,481.981,0.01167,0.34717,1,2.23392,0.000795954,0.000795954,0.000795954
17,506.812,0.01094,0.3535,1,2.22131,0.000770234,0.000770234,0.000770234
18,531.825,0.00998,0.3555,1,2.1752,0.000743468,0.000743468,0.000743468
19,556.107,0.00895,0.35267,1,2.20358,0.000715761,0.000715761,0.000715761
20,580.201,0.00911,0.34517,1,2.32495,0.000687222,0.000687222,0.000687222
