epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,55.4685,0.77379,0.35817,1,1.25598,0.000332444,0.000332444,0.067088
2,82.7918,0.3493,0.34217,1,1.35314,0.000665127,0.000665127,0.0340873
3,108.19,0.17574,0.35933,1,1.55548,0.000995211,0.000995211,0.0010841
4,133.528,0.08702,0.34033,1,1.78196,0.000991232,0.000991232,0.000991232
5,159.43,0.05512,0.367,1,1.90241,0.000984449,0.000984449,0.000984449
6,184.756,0.03903,0.34633,1,2.03736,0.000975773,0.000975773,0.000975773
7,210.094,0.03335,0.336,1,2.22744,0.000965239,0.000965239,0.000965239
8,235.284,0.02893,0.35633,1,2.20959,0.000952889,0.000952889,0.000952889
9,259.789,0.02301,0.3405,1,2.21434,0.000938772,0.000938772,0.000938772
10,285.486,0.02041,0.36067,1,2.23003,0.000922942,0.000922942,0.000922942
11,313.363,0.01865,0.34433,1,2.35624,0.000905463,0.000905463,0.000905463
12,341.726,0.01681,0.3375,1,2.337,0.000886404,0.000886404,0.000886404
13,368.629,0.01599,0.34067,1,2.42325,0.000865839,0.000865839,0.000865839
14,395.188,0.01346,0.34217,1,2.41207,0.000843851,0.000843851,0.000843851
15,422.091,0.01436,0.349,1,2.47461,0.000820525,0.000820525,0.000820525
16,449.432,0.01378,0.348,1,2.41151,0.000795954,0.000795954,0.000795954
17,475.538,0.01355,0.35283,1,2.38061,0.000770234,0.000770234,0.000770234
18,501.092,0.01212,0.356,1,2.39339,0.000743468,0.000743468,0.000743468
19,526.188,0.01116,0.35267,1,2.43534,0.000715761,0.000715761,0.000715761
20,551.383,0.01046,0.34617,1,2.56857,0.000687222,0.000687222,0.000687222
