epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,68.5982,0.29608,0.353,1,2.15881,0.00333167,0.00333167,0.070015
2,116.907,0.06266,0.37837,1,2.39207,0.00665849,0.00665849,0.0400085
3,166.64,0.02841,0.4075,1,2.6112,0.00995931,0.00995931,0.00997597
4,215.043,0.01885,0.41575,1,2.77095,0.00991232,0.00991232,0.00991232
5,262.884,0.0107,0.3895,1,2.51826,0.00984449,0.00984449,0.00984449
6,311.516,0.00745,0.40025,1,3.22853,0.00975773,0.00975773,0.00975773
7,359.442,0.0059,0.41275,1,2.88978,0.00965239,0.00965239,0.00965239
8,407.202,0.00562,0.43413,1,3.02666,0.00952889,0.00952889,0.00952889
9,455.832,0.00388,0.44225,1,2.72766,0.00938772,0.00938772,0.00938772
10,498.422,0.00472,0.45475,1,2.85791,0.00922942,0.00922942,0.00922942
11,544.225,0.00393,0.44375,1,2.75575,0.00905463,0.00905463,0.00905463
12,587.574,0.00316,0.45475,1,3.24443,0.00886404,0.00886404,0.00886404
13,632.508,0.00374,0.45788,1,2.9494,0.00865839,0.00865839,0.00865839
14,675.933,0.00309,0.445,1,2.512,0.00843851,0.00843851,0.00843851
15,720.618,0.00271,0.41337,1,2.66536,0.00820525,0.00820525,0.00820525
16,765.589,0.00236,0.40712,1,2.78979,0.00795954,0.00795954,0.00795954
17,809.136,0.00247,0.41563,1,2.95352,0.00770234,0.00770234,0.00770234
18,851.493,0.00226,0.4085,1,3.11617,0.00743468,0.00743468,0.00743468
19,895.086,0.00231,0.41087,1,3.06326,0.00715761,0.00715761,0.00715761
20,937.715,0.00201,0.428,1,2.92593,0.00687222,0.00687222,0.00687222
21,982.133,0.00193,0.4345,1,2.89216,0.00657963,0.00657963,0.00657963
22,1025.99,0.00203,0.41787,1,3.10541,0.00628101,0.00628101,0.00628101
23,1069.77,0.00215,0.40262,1,3.05324,0.00597754,0.00597754,0.00597754
24,1115.57,0.00228,0.409,1,2.89641,0.0056704,0.0056704,0.0056704
25,1159.59,0.00197,0.42475,1,2.82228,0.00536081,0.00536081,0.00536081
26,1204.2,0.00182,0.42713,1,2.79716,0.00505,0.00505,0.00505
27,1248.92,0.00157,0.427,1,2.78793,0.00473919,0.00473919,0.00473919
28,1293.43,0.00199,0.42925,1,2.73093,0.0044296,0.0044296,0.0044296
