epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,154.07,0.67596,0.29449,1,1.22623,0.000332934,0.000332934,0.0670396
2,219.126,0.28265,0.32654,1,1.70852,0.000665616,0.000665616,0.0340389
3,289.353,0.13907,0.34949,1,2.47255,0.000995699,0.000995699,0.00103567
4,362.711,0.06814,0.37821,1,3.00799,0.000991232,0.000991232,0.000991232
5,431.346,0.04349,0.36244,1,3.40264,0.000984449,0.000984449,0.000984449
6,501.73,0.03336,0.36026,1,3.65332,0.000975773,0.000975773,0.000975773
7,567.569,0.02716,0.385,1,3.69615,0.000965239,0.000965239,0.000965239
8,647.655,0.0232,0.35487,1,3.96779,0.000952889,0.000952889,0.000952889
9,719.595,0.02022,0.35795,1,4.17359,0.000938772,0.000938772,0.000938772
10,791.129,0.01788,0.37179,1,4.17612,0.000922942,0.000922942,0.000922942
11,853.946,0.01598,0.38577,1,4.41113,0.000905463,0.000905463,0.000905463
12,922.673,0.01399,0.385,1,4.17362,0.000886404,0.000886404,0.000886404
13,990.538,0.01274,0.38949,1,4.56051,0.000865839,0.000865839,0.000865839
14,1064.64,0.01154,0.38526,1,4.45122,0.000843851,0.000843851,0.000843851
15,1132.83,0.0125,0.38718,1,4.52134,0.000820525,0.000820525,0.000820525
16,1203.62,0.01102,0.37538,1,4.57228,0.000795954,0.000795954,0.000795954
17,1272.26,0.0115,0.37038,1,4.60942,0.000770234,0.000770234,0.000770234
18,1342.84,0.01163,0.36667,1,4.83181,0.000743468,0.000743468,0.000743468
19,1410.21,0.01041,0.37987,1,4.87993,0.000715761,0.000715761,0.000715761
20,1477.88,0.00993,0.37692,1,4.72479,0.000687222,0.000687222,0.000687222
21,1544.43,0.00895,0.38013,1,4.91099,0.000657963,0.000657963,0.000657963
22,1610.26,0.00928,0.38564,1,4.87333,0.000628101,0.000628101,0.000628101
23,1680.44,0.00791,0.38436,1,4.86314,0.000597754,0.000597754,0.000597754
24,1754.78,0.00801,0.39526,1,4.89171,0.00056704,0.00056704,0.00056704
25,1821.52,0.0084,0.39128,1,4.75589,0.000536081,0.000536081,0.000536081
26,1885.94,0.00689,0.39449,1,4.75688,0.000505,0.000505,0.000505
27,1958.76,0.00708,0.39551,1,4.86078,0.000473919,0.000473919,0.000473919
28,2026.68,0.00771,0.39051,1,4.8653,0.00044296,0.00044296,0.00044296
29,2099.42,0.00733,0.39013,1,4.8619,0.000412246,0.000412246,0.000412246
30,2164.7,0.00734,0.38897,1,4.85938,0.000381899,0.000381899,0.000381899
31,2236.86,0.00759,0.38897,1,4.87087,0.000352037,0.000352037,0.000352037
32,2303.42,0.00735,0.38872,1,4.8873,0.000322778,0.000322778,0.000322778
33,2375.4,0.00671,0.38962,1,4.90311,0.000294239,0.000294239,0.000294239
34,2443.01,0.00746,0.38936,1,4.90907,0.000266532,0.000266532,0.000266532
35,2513.42,0.00691,0.38974,1,4.90521,0.000239766,0.000239766,0.000239766
36,2587.51,0.00686,0.38782,1,4.91377,0.000214046,0.000214046,0.000214046
37,2658.22,0.00675,0.38615,1,4.93121,0.000189475,0.000189475,0.000189475
38,2725.33,0.00595,0.38705,1,4.93543,0.000166149,0.000166149,0.000166149
39,2790.34,0.00657,0.38936,1,4.94723,0.000144161,0.000144161,0.000144161
40,2860.25,0.00686,0.39154,1,4.94251,0.000123596,0.000123596,0.000123596
