epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.5947,1.55642,1.04762,1.25171,0.78618,0.43054,0.53909,0.32601,1.60317,1.28258,1.19616,0.0668954,0.000166355,0.000166355
2,149.409,1.43643,0.92284,1.16779,0.79329,0.41624,0.51508,0.31421,1.6223,1.38518,1.1972,0.0337267,0.000330992,0.000330992
3,205.005,1.35997,0.8603,1.12888,0.7611,0.49149,0.59667,0.34481,1.61488,1.09831,1.18484,0.000550004,0.000487582,0.000487582
4,253.123,1.32018,0.82203,1.10369,0.79696,0.49271,0.60767,0.34511,1.63337,1.11563,1.17808,0.000473024,0.000473024,0.000473024
5,301.066,1.28109,0.79049,1.08108,0.80129,0.4589,0.56311,0.3249,1.66092,1.26825,1.2038,0.000452732,0.000452732,0.000452732
6,350.473,1.25422,0.76681,1.0661,0.78476,0.45531,0.54969,0.3206,1.65521,1.3084,1.20942,0.000427509,0.000427509,0.000427509
7,399.179,1.23364,0.75265,1.05903,0.79372,0.44706,0.5537,0.31839,1.70207,1.38387,1.20407,0.000397977,0.000397977,0.000397977
8,447.375,1.21722,0.73923,1.04884,0.80671,0.45112,0.56143,0.3223,1.70563,1.40714,1.20749,0.000364863,0.000364863,0.000364863
9,495.852,1.19933,0.72269,1.04086,0.79125,0.46143,0.56438,0.30971,1.76342,1.30908,1.23192,0.000328982,0.000328982,0.000328982
10,544.412,1.17826,0.71357,1.03693,0.76851,0.42566,0.52654,0.29216,1.83681,1.51745,1.26539,0.000291218,0.000291218,0.000291218
11,601.535,1.15441,0.68366,1.0155,0.77628,0.41405,0.52406,0.29026,1.88065,1.58091,1.29162,0.0002525,0.0002525,0.0002525
12,648.617,1.12738,0.66314,1.00239,0.78691,0.41077,0.52366,0.29384,1.82388,1.63518,1.24892,0.000213782,0.000213782,0.000213782
13,694.653,1.10994,0.65089,0.99412,0.79161,0.41872,0.54151,0.3126,1.80691,1.66891,1.25193,0.000176018,0.000176018,0.000176018
14,740.778,1.09639,0.64191,0.9908,0.77444,0.42191,0.55233,0.30465,1.87234,1.63493,1.27696,0.000140137,0.000140137,0.000140137
