epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.6838,1.44432,2.20442,1.38334,0.621,0.293,0.39799,0.23342,1.46387,2.87506,1.42819,0.0670448,0.000332881,0.000332881
2,122.086,1.51297,2.09281,1.4548,0.63442,0.53571,0.58482,0.34735,1.36518,1.72683,1.38622,0.0340422,0.000663614,0.000663614
3,176.05,1.49972,2.06511,1.45951,0.55334,0.51449,0.55343,0.33144,1.40783,1.7588,1.44398,0.00102923,0.000984003,0.000984003
4,229.816,1.50032,2.05969,1.46959,0.68001,0.5923,0.65449,0.4004,1.3206,1.46141,1.3625,0.000965239,0.000965239,0.000965239
5,284.134,1.43145,1.94436,1.42881,0.64085,0.57942,0.63579,0.40319,1.25516,1.50958,1.35275,0.000938772,0.000938772,0.000938772
6,338.304,1.40336,1.82632,1.41233,0.69534,0.55944,0.64776,0.3974,1.27021,1.5599,1.3376,0.000905463,0.000905463,0.000905463
7,392.361,1.35861,1.8093,1.38741,0.73589,0.62072,0.71173,0.45484,1.202,1.37688,1.32302,0.000865839,0.000865839,0.000865839
8,444.279,1.32657,1.76638,1.36087,0.62678,0.57942,0.6241,0.37949,1.24364,1.49143,1.31125,0.000820525,0.000820525,0.000820525
9,495.233,1.28155,1.66924,1.32233,0.69576,0.61228,0.7109,0.44719,1.19423,1.37028,1.28648,0.000770234,0.000770234,0.000770234
10,547.508,1.26398,1.68456,1.31508,0.72472,0.61017,0.6914,0.45362,1.12645,1.33357,1.26942,0.000715761,0.000715761,0.000715761
11,599.839,1.24682,1.63302,1.31432,0.74028,0.64236,0.75598,0.49853,1.12287,1.30874,1.25323,0.000657963,0.000657963,0.000657963
12,651.47,1.22131,1.59333,1.29633,0.70137,0.6973,0.77258,0.51649,1.08651,1.194,1.22271,0.000597754,0.000597754,0.000597754
13,704.327,1.16734,1.48274,1.26933,0.72968,0.68132,0.7659,0.52181,1.06411,1.19192,1.21794,0.000536081,0.000536081,0.000536081
14,755.951,1.16401,1.43757,1.27385,0.73582,0.68831,0.78437,0.54182,0.99689,1.16341,1.18464,0.000473919,0.000473919,0.000473919
15,807.975,1.12074,1.40822,1.24766,0.78471,0.69547,0.80468,0.56193,0.99536,1.12682,1.16611,0.000412246,0.000412246,0.000412246
16,878.083,0.94086,1.30732,1.09615,0.80079,0.67465,0.79799,0.56154,0.98995,1.0937,1.17101,0.000352037,0.000352037,0.000352037
17,927.617,0.94012,1.20449,1.09052,0.76809,0.70529,0.80113,0.56894,0.98315,1.08918,1.16034,0.000294239,0.000294239,0.000294239
18,978.019,0.90869,1.18098,1.07121,0.77406,0.71531,0.81227,0.58309,0.9634,1.1405,1.15322,0.000239766,0.000239766,0.000239766
19,1027.61,0.88818,1.08444,1.06511,0.79361,0.6993,0.80558,0.58584,0.95855,1.13504,1.15672,0.000189475,0.000189475,0.000189475
20,1077.37,0.85679,1.08533,1.0321,0.80338,0.72328,0.82388,0.60277,0.93906,1.06625,1.14554,0.000144161,0.000144161,0.000144161
21,1127.92,0.85049,1.01871,1.04233,0.82065,0.71029,0.83451,0.61531,0.92306,1.02484,1.13371,0.000104537,0.000104537,0.000104537
22,1177.65,0.83501,1.00037,1.0424,0.81387,0.71329,0.83409,0.61834,0.90357,1.01692,1.11954,7.12282e-05,7.12282e-05,7.12282e-05
23,1227.93,0.79091,0.94976,1.00072,0.82145,0.71697,0.83406,0.61841,0.90555,1.03117,1.12304,4.47606e-05,4.47606e-05,4.47606e-05
24,1277.84,0.82103,0.98335,1.01707,0.80207,0.72869,0.83801,0.61964,0.90728,1.03809,1.11877,2.55513e-05,2.55513e-05,2.55513e-05
25,1327.35,0.80304,0.95145,0.99789,0.81987,0.72428,0.84112,0.6221,0.89847,1.02688,1.11451,1.39032e-05,1.39032e-05,1.39032e-05
