epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,176.808,1.79393,1.81677,1.51366,0.76245,0.61044,0.70846,0.32947,1.73795,1.66993,1.50469,0.0668555,0.000166555,0.000166555
2,308.559,1.69086,1.49811,1.44819,0.83362,0.72999,0.80583,0.44236,1.47656,1.38567,1.36885,0.0336879,0.000332319,0.000332319
3,438.513,1.67157,1.41632,1.43599,0.87111,0.72992,0.82292,0.46378,1.43211,1.26249,1.33386,0.000516719,0.000494482,0.000494482
4,567.037,1.63643,1.34548,1.41276,0.85631,0.74892,0.8238,0.47338,1.35337,1.54198,1.30847,0.000487886,0.000487886,0.000487886
5,697.381,1.61575,1.29682,1.38734,0.87983,0.75926,0.84564,0.47183,1.43034,1.15538,1.32698,0.000478603,0.000478603,0.000478603
6,823.504,1.61417,1.26203,1.38523,0.85889,0.75194,0.83634,0.48757,1.32361,1.16236,1.28596,0.000466841,0.000466841,0.000466841
7,946.848,1.60015,1.23784,1.38056,0.85648,0.76334,0.84792,0.48091,1.3987,1.12843,1.29129,0.000452732,0.000452732,0.000452732
8,1069.71,1.56716,1.19535,1.35561,0.87342,0.75859,0.85078,0.50076,1.31069,1.07252,1.25642,0.000436428,0.000436428,0.000436428
9,1192.49,1.56306,1.16003,1.35302,0.84022,0.76097,0.84502,0.49705,1.33596,1.04314,1.25757,0.00041811,0.00041811,0.00041811
10,1318.25,1.54484,1.1423,1.33917,0.88176,0.78458,0.86826,0.50754,1.34081,1.01528,1.26911,0.000397977,0.000397977,0.000397977
11,1441.91,1.53752,1.11994,1.32997,0.8754,0.78906,0.86789,0.5105,1.32327,0.99294,1.25793,0.00037625,0.00037625,0.00037625
12,1565.76,1.52816,1.10086,1.32172,0.88142,0.76915,0.86711,0.5189,1.31208,0.95653,1.23728,0.000353167,0.000353167,0.000353167
13,1687.86,1.50348,1.06934,1.30765,0.87725,0.78722,0.86606,0.49977,1.34945,0.969,1.26269,0.000328982,0.000328982,0.000328982
14,1810.17,1.49677,1.05059,1.29932,0.88994,0.78114,0.87033,0.50313,1.36896,0.93555,1.25347,0.000303958,0.000303958,0.000303958
15,1932.56,1.48587,1.03743,1.29691,0.86506,0.79719,0.87519,0.53089,1.26431,0.90468,1.21761,0.000278371,0.000278371,0.000278371
16,2054.78,1.47318,1.01518,1.28651,0.87564,0.78619,0.87166,0.52478,1.30908,0.94414,1.23259,0.0002525,0.0002525,0.0002525
17,2179.81,1.45142,1.00028,1.27778,0.88283,0.81325,0.88681,0.53346,1.27131,0.87229,1.21739,0.000226629,0.000226629,0.000226629
18,2305.06,1.44963,0.98466,1.2716,0.8936,0.82394,0.89261,0.54489,1.25217,0.85121,1.20853,0.000201042,0.000201042,0.000201042
19,2429.69,1.43131,0.95793,1.2638,0.89028,0.80649,0.88672,0.5497,1.21063,0.84496,1.19296,0.000176018,0.000176018,0.000176018
20,2553.44,1.419,0.94798,1.2519,0.88462,0.81154,0.88974,0.5471,1.2543,0.82413,1.20538,0.000151833,0.000151833,0.000151833
21,2675.28,1.4192,0.937,1.25574,0.87091,0.81906,0.88778,0.54777,1.22446,0.82696,1.19525,0.00012875,0.00012875,0.00012875
22,2797.12,1.4037,0.91952,1.24445,0.87521,0.81325,0.88622,0.54617,1.21598,0.82338,1.19089,0.000107023,0.000107023,0.000107023
23,2918.4,1.39263,0.90256,1.23299,0.87358,0.81472,0.88348,0.54834,1.2067,0.82298,1.18832,8.68902e-05,8.68902e-05,8.68902e-05
24,3040.94,1.38617,0.89162,1.23295,0.89517,0.81627,0.89147,0.55209,1.19597,0.79777,1.18873,6.85717e-05,6.85717e-05,6.85717e-05
25,3163.23,1.36996,0.88325,1.22311,0.86782,0.82634,0.89119,0.5555,1.18301,0.80168,1.17673,5.22683e-05,5.22683e-05,5.22683e-05
26,3314.39,1.34298,0.79831,1.22512,0.86024,0.8197,0.88024,0.54581,1.19307,0.8209,1.17685,3.81587e-05,3.81587e-05,3.81587e-05
27,3438.01,1.33017,0.7864,1.21647,0.8719,0.81564,0.88565,0.54986,1.18795,0.79809,1.17692,2.63975e-05,2.63975e-05,2.63975e-05
28,3559.09,1.3279,0.78021,1.21505,0.87329,0.821,0.8879,0.55249,1.18386,0.79485,1.17306,1.71135e-05,1.71135e-05,1.71135e-05
29,3681.39,1.31871,0.76619,1.2165,0.87412,0.82724,0.88967,0.55501,1.18681,0.78818,1.17346,1.04085e-05,1.04085e-05,1.04085e-05
30,3802.51,1.32137,0.76238,1.21246,0.8769,0.82336,0.88944,0.55407,1.17974,0.78948,1.17135,6.35583e-06,6.35583e-06,6.35583e-06
