epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,153.353,1.89587,1.64876,1.52266,0.74288,0.70217,0.76414,0.37207,1.73771,1.29923,1.50905,0.000665778,0.000665778,0.000665778
2,322.958,1.87179,1.5393,1.535,0.82753,0.67203,0.77076,0.38978,1.69845,1.84603,1.47322,0.00130606,0.00130606,0.00130606
3,490.669,1.85264,1.50191,1.53697,0.7229,0.72534,0.76303,0.38699,1.715,1.2908,1.4867,0.00191995,0.00191995,0.00191995
4,669.914,1.81344,1.42099,1.5069,0.74653,0.73195,0.79454,0.41872,1.60493,1.32817,1.42442,0.0018812,0.0018812,0.0018812
5,827.113,1.78588,1.35419,1.48266,0.73936,0.68938,0.72493,0.38072,1.64283,1.45175,1.46324,0.0018416,0.0018416,0.0018416
6,1004.04,1.76288,1.31546,1.46834,0.84286,0.72102,0.80473,0.4243,1.63705,1.30522,1.44838,0.001802,0.001802,0.001802
7,1167.63,1.74087,1.28412,1.45328,0.85127,0.7679,0.84072,0.45211,1.58741,1.09105,1.39171,0.0017624,0.0017624,0.0017624
8,1334.61,1.72469,1.24924,1.44557,0.89604,0.77596,0.85626,0.45236,1.63533,1.00662,1.41641,0.0017228,0.0017228,0.0017228
9,1503.2,1.7011,1.19772,1.42611,0.84634,0.77251,0.84142,0.43851,1.60034,1.14075,1.39418,0.0016832,0.0016832,0.0016832
10,1658.29,1.69665,1.18373,1.41969,0.87237,0.7804,0.85645,0.47418,1.5386,1.25341,1.37721,0.0016436,0.0016436,0.0016436
11,1836.02,1.68296,1.16031,1.40916,0.84421,0.74777,0.84553,0.45751,1.56838,1.12446,1.3861,0.001604,0.001604,0.001604
