epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.4172,1.4784,0.9309,1.12468,0.91982,0.75796,0.87914,0.57279,1.21774,0.81902,1.09991,0.0668166,9.98496e-05,9.98496e-05
2,147.453,1.33101,0.79518,1.05441,0.9377,0.80759,0.91608,0.62587,1.11146,0.69532,1.03074,0.0335821,0.000198632,0.000198632
3,217.315,1.24895,0.74304,1.0278,0.95303,0.82953,0.93195,0.65026,1.05426,0.64878,1.00453,0.00034271,0.000292585,0.000292585
4,286.349,1.20035,0.70904,1.00817,0.95542,0.85189,0.94,0.66405,1.02129,0.62813,0.98681,0.000283814,0.000283814,0.000283814
5,355.8,1.1633,0.68115,0.99235,0.96132,0.85876,0.94562,0.69351,0.97823,0.60001,0.97056,0.000271639,0.000271639,0.000271639
6,424.367,1.13326,0.66266,0.98271,0.96199,0.85833,0.94854,0.70627,0.95457,0.58459,0.95951,0.000256505,0.000256505,0.000256505
7,492.758,1.10981,0.64718,0.97394,0.96257,0.86988,0.95279,0.71432,0.93515,0.58024,0.95686,0.000238786,0.000238786,0.000238786
8,559.318,1.10088,0.63968,0.97127,0.96346,0.8721,0.95441,0.71588,0.93954,0.57606,0.95301,0.000218918,0.000218918,0.000218918
9,626.515,1.08125,0.6263,0.96516,0.96228,0.87335,0.95549,0.71863,0.92938,0.56215,0.94709,0.000197389,0.000197389,0.000197389
10,693.276,1.06919,0.6199,0.96185,0.96525,0.87413,0.95761,0.73522,0.89205,0.55211,0.93777,0.000174731,0.000174731,0.000174731
11,760.521,1.05814,0.6143,0.95863,0.96806,0.87582,0.95936,0.74165,0.88216,0.53972,0.93097,0.0001515,0.0001515,0.0001515
12,827.148,1.04442,0.60444,0.95231,0.96965,0.87461,0.95875,0.74718,0.87133,0.53663,0.92809,0.000128269,0.000128269,0.000128269
13,894.414,1.03876,0.60123,0.95194,0.96612,0.88194,0.96132,0.74483,0.8771,0.54016,0.92973,0.000105611,0.000105611,0.000105611
14,960.69,1.02848,0.59536,0.94909,0.96819,0.88261,0.96204,0.75075,0.85969,0.52895,0.9244,8.40824e-05,8.40824e-05,8.40824e-05
15,1027.09,1.01779,0.58863,0.94712,0.96736,0.88518,0.96279,0.75157,0.85488,0.52532,0.92079,6.42139e-05,6.42139e-05,6.42139e-05
16,1100.81,0.99862,0.57449,0.93647,0.96966,0.88605,0.96329,0.74976,0.86214,0.52569,0.92054,4.64946e-05,4.64946e-05,4.64946e-05
17,1165.72,0.98469,0.56474,0.93312,0.96897,0.88724,0.96378,0.75117,0.85494,0.5246,0.91827,3.1361e-05,3.1361e-05,3.1361e-05
18,1229.9,0.97915,0.56124,0.93058,0.97,0.88823,0.96387,0.7548,0.84735,0.52076,0.91609,1.91855e-05,1.91855e-05,1.91855e-05
19,1294.76,0.97763,0.56055,0.92933,0.97011,0.88853,0.96419,0.75734,0.84372,0.51836,0.91482,1.02681e-05,1.02681e-05,1.02681e-05
20,1358.95,0.96957,0.55544,0.92807,0.9692,0.88843,0.96412,0.7568,0.84251,0.51627,0.91411,4.82828e-06,4.82828e-06,4.82828e-06
