epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.8044,1.87581,1.69868,1.50287,0.7636,0.72555,0.76967,0.40621,1.57732,1.30087,1.39939,0.0668776,0.000166444,0.000166444
2,142.152,1.76656,1.35377,1.42219,0.88272,0.7555,0.82749,0.42468,1.6616,1.15686,1.41116,0.03371,0.000332208,0.000332208
3,211.426,1.73376,1.28542,1.41037,0.85444,0.74786,0.82424,0.44664,1.56574,1.07937,1.37697,0.000538816,0.000494372,0.000494372
4,287.552,1.70554,1.22549,1.38668,0.71555,0.70829,0.74687,0.41389,1.50614,1.30138,1.34405,0.000487886,0.000487886,0.000487886
5,363.088,1.68057,1.17343,1.3722,0.89508,0.78286,0.85636,0.44018,1.65779,1.05558,1.40538,0.000478603,0.000478603,0.000478603
6,438.058,1.66824,1.12719,1.3574,0.87048,0.74633,0.83278,0.4534,1.58371,1.05686,1.38098,0.000466841,0.000466841,0.000466841
7,507.547,1.65498,1.10879,1.35841,0.89419,0.78832,0.85125,0.46618,1.59412,0.94655,1.38312,0.000452732,0.000452732,0.000452732
8,576.143,1.63526,1.07838,1.33657,0.79487,0.77193,0.81223,0.44071,1.59793,1.05393,1.37075,0.000436428,0.000436428,0.000436428
9,644.136,1.61839,1.0451,1.32391,0.86964,0.7866,0.85425,0.47598,1.54461,0.94147,1.35831,0.00041811,0.00041811,0.00041811
10,712.161,1.61346,1.03401,1.32082,0.88641,0.77205,0.85853,0.48466,1.52841,0.97225,1.33816,0.000397977,0.000397977,0.000397977
11,781.146,1.59399,1.01008,1.30766,0.78086,0.79528,0.84353,0.48457,1.49977,1.00924,1.32432,0.00037625,0.00037625,0.00037625
12,849.482,1.57811,0.99853,1.30196,0.82828,0.805,0.85769,0.4871,1.51747,0.91888,1.32558,0.000353167,0.000353167,0.000353167
13,917.491,1.56592,0.97541,1.2997,0.83208,0.73655,0.83297,0.46887,1.53368,1.03748,1.33169,0.000328982,0.000328982,0.000328982
14,986.006,1.55566,0.94478,1.28664,0.86878,0.77307,0.84443,0.47967,1.52908,0.93892,1.35597,0.000303958,0.000303958,0.000303958
15,1054.82,1.54641,0.93864,1.28221,0.84032,0.80522,0.85317,0.47816,1.55415,0.92833,1.34262,0.000278371,0.000278371,0.000278371
16,1123.87,1.54696,0.93435,1.28071,0.89306,0.78947,0.87386,0.47198,1.58648,0.92253,1.35482,0.0002525,0.0002525,0.0002525
17,1192.75,1.52927,0.91845,1.26999,0.84854,0.79274,0.85821,0.49485,1.50821,0.88061,1.32035,0.000226629,0.000226629,0.000226629
18,1261.33,1.52162,0.89903,1.26698,0.78851,0.77452,0.83392,0.48158,1.50624,1.0014,1.32644,0.000201042,0.000201042,0.000201042
19,1330.16,1.49913,0.88949,1.25276,0.86107,0.77567,0.85961,0.49145,1.52272,0.91834,1.33389,0.000176018,0.000176018,0.000176018
20,1399.08,1.49517,0.87708,1.24785,0.90158,0.7866,0.87535,0.50032,1.52899,0.8494,1.32836,0.000151833,0.000151833,0.000151833
21,1467.48,1.48901,0.86322,1.24221,0.87055,0.77948,0.86583,0.49842,1.52267,0.86471,1.32475,0.00012875,0.00012875,0.00012875
22,1535.36,1.47529,0.8594,1.23814,0.88967,0.77883,0.86994,0.49986,1.51889,0.84584,1.32364,0.000107023,0.000107023,0.000107023
23,1604.69,1.47096,0.83938,1.2322,0.892,0.79177,0.8736,0.50171,1.50852,0.83022,1.31974,8.68902e-05,8.68902e-05,8.68902e-05
24,1673.45,1.46274,0.82786,1.22527,0.87967,0.78004,0.8627,0.49137,1.53025,0.84727,1.32981,6.85717e-05,6.85717e-05,6.85717e-05
25,1742.09,1.46567,0.8341,1.2292,0.89516,0.78947,0.87612,0.50976,1.48835,0.82259,1.31079,5.22683e-05,5.22683e-05,5.22683e-05
26,1822.81,1.42891,0.76527,1.24265,0.88335,0.76733,0.86339,0.49801,1.50537,0.85658,1.31826,3.81587e-05,3.81587e-05,3.81587e-05
27,1890.16,1.42474,0.74868,1.23569,0.89615,0.77941,0.86923,0.50074,1.50278,0.83549,1.31579,2.63975e-05,2.63975e-05,2.63975e-05
28,1957.62,1.41099,0.73827,1.2284,0.90034,0.77998,0.87323,0.50309,1.50367,0.82615,1.31459,1.71135e-05,1.71135e-05,1.71135e-05
29,2024.9,1.40203,0.73319,1.22139,0.87337,0.79144,0.87269,0.50323,1.50474,0.83739,1.31431,1.04085e-05,1.04085e-05,1.04085e-05
30,2092.08,1.39878,0.73342,1.22104,0.88007,0.78509,0.86981,0.50393,1.50206,0.83518,1.31493,6.35583e-06,6.35583e-06,6.35583e-06
